Time		Value
0.00d0		1.000d0
0.05d0		0.99007450310635875349620058909433d0
0.10d0		0.98029604940692089010881286148417d0
0.15d0		0.97066174864714018782304836322163d0
0.20d0		0.96116878123798539023452518262207d0
0.25d0		0.95181439619274241522903033908388d0
0.30d0		0.94259590913375435950607974361391d0
0.35d0		0.93351070036640294989381315783332d0
0.40d0		0.92455621301775147928994082840237d0
0.45d0		0.91572995123738009660950985554360d0
0.50d0		0.90702947845804988662131519274376d0
0.55d0		0.89845241571393275083668381213360d0
0.60d0		0.88999644001423994304022783908864d0
0.65d0		0.88165928277017346646388503162953d0
0.70d0		0.87343872827321163420386059917897d0
0.75d0		0.86533261222282314764737696051920d0
0.80d0		0.85733882030178326474622770919067d0
0.85d0		0.84945528679734120495232432202850d0
0.90d0		0.84167999326656005386751956905984d0
0.95d0		0.83401096724421926148328850524384d0
1.00d0		0.82644628099173553719008264462810d0
1.05d0		0.81898405028562068753711021477857d0
1.10d0		0.81162243324405486567648729810892d0
1.15d0		0.80435962919021094331275513281988d0
1.20d0		0.79719387755102040816326530612245d0
1.25d0		0.79012345679012345679012345679012d0
1.30d0		0.78314668337379591197431278878534d0
1.35d0		0.77626191076869335713869859690660d0
1.40d0		0.76946752847029855340104647583872d0
1.45d0		0.76276196106100188783585362597967d0
1.50d0   	0.75614366729678638941398865784499d0
1.55d0  	0.75614366729678638941398865784499d0
