  Time                    	Value
  0.000000000000000E+00   0.100000000000001E+01       
  0.500000000000000E-01   0.995078349757670E+00       
  0.100000000000000E+00   0.990246225529225E+00       
  0.150000000000000E+00   0.985519853123755E+00       
  0.200000000000000E+00   0.980915288138472E+00       
  0.250000000000000E+00   0.976445185458912E+00       
  0.300000000000000E+00   0.972117522221760E+00       
  0.350000000000000E+00   0.967935712671782E+00       
  0.400000000000000E+00   0.963899397043325E+00       
  0.450000000000000E+00   0.960005409185042E+00       
  0.500000000000000E+00   0.956248669395282E+00       
  0.550000000000000E+00   0.952622908479257E+00       
  0.600000000000000E+00   0.949121212012798E+00       
  0.650000000000000E+00   0.945734793835935E+00       
  0.700000000000000E+00   0.942458280985439E+00       
  0.750000000000000E+00   0.939284712939794E+00       
  0.800000000000000E+00   0.936207406007447E+00       
  0.850000000000000E+00   0.933220019924285E+00       
  0.900000000000000E+00   0.930318210858085E+00       
  0.950000000000000E+00   0.927494437830060E+00       
  0.100000000000000E+01   0.924743522023037E+00       
