Time                     Value
0.000000000000000E+00	 0.000000000000000E+00
0.500000000000000E-01   -0.649683122613359E-10
0.100000000000000E+00   -0.122368587686518E-09
0.150000000000000E+00   -0.178431189251481E-09
0.200000000000000E+00   -0.232644482037654E-09
0.250000000000000E+00   -0.284292075848531E-09
0.300000000000000E+00   -0.332893055047848E-09
0.350000000000000E+00   -0.378173909427403E-09
0.400000000000000E+00   -0.420026176305783E-09
0.450000000000000E+00   -0.458474288106493E-09
0.500000000000000E+00   -0.493582779790790E-09
0.550000000000000E+00   -0.525499157930431E-09
0.600000000000000E+00   -0.554385526727795E-09
0.650000000000000E+00   -0.580452285534470E-09
0.700000000000000E+00   -0.603839063390932E-09
0.750000000000000E+00   -0.624720095880049E-09
0.800000000000000E+00   -0.643263044872089E-09
0.850000000000000E+00   -0.659648482983227E-09
0.900000000000000E+00   -0.673976754578617E-09
0.950000000000000E+00   -0.686471995124788E-09
0.100000000000000E+01   -0.697283285022501E-09
