Time                      Value
0.000000000000000E+00   0.000000000000000E+00 
0.500000000000000E-01  -0.107879555488178E-17 
0.100000000000000E+00  -0.153857050641511E-18 
0.150000000000000E+00  -0.145561998095429E-17 
0.200000000000000E+00  -0.381374262865575E-18 
0.250000000000000E+00  -0.248109845565275E-17 
0.300000000000000E+00  -0.656181923181215E-18 
0.350000000000000E+00  -0.986128190117942E-18 
0.400000000000000E+00   0.486127103721579E-18 
0.450000000000000E+00   0.385318826648048E-17 
0.500000000000000E+00   0.756478216356967E-18 
0.550000000000000E+00  -0.181570172402531E-18 
0.600000000000000E+00  -0.579037623298977E-17 
0.650000000000000E+00   0.137503194586056E-17 
0.700000000000000E+00   0.388524504624014E-17 
0.750000000000000E+00   0.874785200188935E-17 
0.800000000000000E+00  -0.192183880137099E-17 
0.850000000000000E+00  -0.828775457421130E-18 
0.900000000000000E+00  -0.563190310280295E-17 
0.950000000000000E+00   0.767495156425964E-17 
0.100000000000000E+01  -0.110568893470725E-16 
