  Time                      Value
  0.000000000000000E+00   0.000000000000000E+00 
  0.500000000000000E-01   0.649683213890664E-10 
  0.100000000000000E+00   0.122368606467657E-09 
  0.150000000000000E+00   0.178431216892266E-09 
  0.200000000000000E+00   0.232644518727111E-09 
  0.250000000000000E+00   0.284292130742922E-09 
  0.300000000000000E+00   0.332893120550382E-09 
  0.350000000000000E+00   0.378173978981021E-09 
  0.400000000000000E+00   0.420026249078159E-09 
  0.450000000000000E+00   0.458474360199678E-09 
  0.500000000000000E+00   0.493582853154312E-09 
  0.550000000000000E+00   0.525499252135586E-09 
  0.600000000000000E+00   0.554385619863290E-09 
  0.650000000000000E+00   0.580452389677012E-09 
  0.700000000000000E+00   0.603839151134539E-09 
  0.750000000000000E+00   0.624720200466319E-09 
  0.800000000000000E+00   0.643263143845404E-09 
  0.850000000000000E+00   0.659648585904370E-09 
  0.900000000000000E+00   0.673976886089942E-09 
  0.950000000000000E+00   0.686472111532513E-09 
  0.100000000000000E+01   0.697283410536875E-09 
