   Time                     Value
   0.000000000000000E+00   0.100000000000001E+01 
   0.500000000000000E-01   0.995078349757656E+00 
   0.100000000000000E+00   0.990246225529199E+00 
   0.150000000000000E+00   0.985519853123775E+00 
   0.200000000000000E+00   0.980915288138394E+00 
   0.250000000000000E+00   0.976445185458952E+00 
   0.300000000000000E+00   0.972117522221758E+00 
   0.350000000000000E+00   0.967935712671747E+00 
   0.400000000000000E+00   0.963899397043321E+00 
   0.450000000000000E+00   0.960005409185068E+00 
   0.500000000000000E+00   0.956248669395285E+00 
   0.550000000000000E+00   0.952622908479306E+00 
   0.600000000000000E+00   0.949121212012788E+00 
   0.650000000000000E+00   0.945734793835928E+00 
   0.700000000000000E+00   0.942458280985403E+00 
   0.750000000000000E+00   0.939284712939786E+00 
   0.800000000000000E+00   0.936207406007459E+00 
   0.850000000000000E+00   0.933220019924281E+00 
   0.900000000000000E+00   0.930318210858070E+00 
   0.950000000000000E+00   0.927494437830085E+00 
   0.100000000000000E+01   0.924743522023054E+00 
