   Time                       Value
   0.000000000000000E+00    0.000000000000000E+00 
   0.500000000000000E-01   -0.317730106373609E-17 
   0.100000000000000E+00   -0.103132548902885E-17 
   0.150000000000000E+00    0.682556651404559E-18 
   0.200000000000000E+00   -0.171910406211053E-17 
   0.250000000000000E+00   -0.109732189294213E-17 
   0.300000000000000E+00   -0.200981356663723E-18 
   0.350000000000000E+00   -0.270823683128248E-17 
   0.400000000000000E+00   -0.661741436797416E-18 
   0.450000000000000E+00   -0.476015006203782E-19 
   0.500000000000000E+00    0.111930685012553E-17 
   0.550000000000000E+00    0.154080835623005E-17 
   0.600000000000000E+00    0.189762045716969E-17 
   0.650000000000000E+00    0.133780048445681E-17 
   0.700000000000000E+00    0.296016515774682E-17 
   0.750000000000000E+00    0.127379749809877E-16 
   0.800000000000000E+00   -0.248320259782807E-17 
   0.850000000000000E+00    0.584838525696136E-18 
   0.900000000000000E+00   -0.691029996159176E-17 
   0.950000000000000E+00   -0.270536938286431E-18 
   0.100000000000000E+01    0.861059405962767E-18 
