   Time                      Value
   0.000000000000000E+00     0.000000000000000E+00 
   0.500000000000000E-01     0.161165880167230E-17 
   0.100000000000000E+00     0.390194411142830E-17 
   0.150000000000000E+00     0.180085840570951E-17 
   0.200000000000000E+00     0.191772683101674E-17 
   0.250000000000000E+00     0.442639191802221E-17 
   0.300000000000000E+00     0.645641964033044E-17 
   0.350000000000000E+00    -0.519666834910617E-17 
   0.400000000000000E+00     0.880658385156677E-18 
   0.450000000000000E+00     0.251884326699767E-16 
   0.500000000000000E+00     0.115168482897305E-16 
   0.550000000000000E+00     0.226414243820807E-17 
   0.600000000000000E+00     0.195589779519815E-16 
   0.650000000000000E+00     0.465654528748427E-17 
   0.700000000000000E+00     0.280015219161507E-16 
   0.750000000000000E+00    -0.126813714751813E-16 
   0.800000000000000E+00     0.916804268819071E-17 
   0.850000000000000E+00     0.253863128514941E-16 
   0.900000000000000E+00    -0.809035517356621E-17 
   0.950000000000000E+00     0.172730338514031E-17 
   0.100000000000000E+01     0.218683887589942E-16 
