   Time                        Value
   0.000000000000000E+00      0.100000000000001E+01
   0.500000000000000E-01      0.100999999999997E+01
   0.100000000000000E+00      0.102000000000001E+01
   0.150000000000000E+00      0.103000000000002E+01
   0.200000000000000E+00      0.103999999999999E+01
   0.250000000000000E+00      0.105000000000004E+01
   0.300000000000000E+00      0.105999999999998E+01
   0.350000000000000E+00      0.107000000000001E+01
   0.400000000000000E+00      0.108000000000000E+01
   0.450000000000000E+00      0.109000000000000E+01
   0.500000000000000E+00      0.110000000000002E+01
   0.550000000000000E+00      0.110999999999999E+01
   0.600000000000000E+00      0.112000000000004E+01
   0.650000000000000E+00      0.112999999999999E+01
   0.700000000000000E+00      0.113999999999999E+01
   0.750000000000000E+00      0.114999999999998E+01
   0.800000000000000E+00      0.116000000000001E+01
   0.850000000000000E+00      0.116999999999999E+01
   0.900000000000000E+00      0.117999999999999E+01
   0.950000000000000E+00      0.119000000000002E+01
   0.100000000000000E+01      0.120000000000000E+01
