  Time                    	Value					
  0.000000000000000E+00   0.000000000000000E+00 
  0.500000000000000E-01  -0.185066152422255E-18 
  0.100000000000000E+00  -0.221597529520378E-17 
  0.150000000000000E+00  -0.578855285118382E-17 
  0.200000000000000E+00  -0.707168782508527E-17 
  0.250000000000000E+00  -0.945210807363066E-17 
  0.300000000000000E+00  -0.106500413764876E-16 
  0.350000000000000E+00  -0.104713116343527E-16 
  0.400000000000000E+00  -0.115742060207303E-16 
  0.450000000000000E+00  -0.337277973043852E-16 
  0.500000000000000E+00  -0.601038201195523E-17 
  0.550000000000000E+00   0.829777959676444E-19 
  0.600000000000000E+00  -0.780514142961052E-17 
  0.650000000000000E+00  -0.297930273434654E-17 
  0.700000000000000E+00  -0.561611960787163E-17 
  0.750000000000000E+00  -0.112520373701144E-16 
  0.800000000000000E+00  -0.102015585240221E-16 
  0.850000000000000E+00   0.123253633583158E-18 
  0.900000000000000E+00   0.647384634608502E-19 
  0.950000000000000E+00   0.117185023019162E-18 
  0.100000000000000E+01  -0.917057922009977E-18 
