Time                 	Value
0.000000000000000E+00	 0.000000000000000E+00 
0.500000000000000E-01   -0.345811540474225E-17 
0.100000000000000E+00   -0.804307331536650E-17 
0.150000000000000E+00   -0.114814980992172E-16 
0.200000000000000E+00   -0.126679476536301E-16 
0.250000000000000E+00   -0.141495522078045E-16 
0.300000000000000E+00   -0.139472279658771E-16 
0.350000000000000E+00   -0.146274859987993E-16 
0.400000000000000E+00   -0.152995789318951E-16 
0.450000000000000E+00   -0.887852490686445E-17 
0.500000000000000E+00   -0.251368479413294E-16 
0.550000000000000E+00   -0.105951910300692E-18 
0.600000000000000E+00   -0.769523973188489E-17 
0.650000000000000E+00   -0.181914213785346E-16 
0.700000000000000E+00   -0.167180530617194E-16 
0.750000000000000E+00   -0.190433983843101E-16 
0.800000000000000E+00   -0.130445472700939E-16 
0.850000000000000E+00   -0.396786959313112E-17 
0.900000000000000E+00   -0.159496965712475E-18 
0.950000000000000E+00   -0.298019939813055E-18 
0.100000000000000E+01   -0.459718860316146E-17 
