Time                 		Value
0.000000000000000E+00      0.000000000000000E+00
0.500000000000000E-01     -0.173819930600123E-18
0.100000000000000E+00     -0.142600876115134E-18
0.150000000000000E+00      0.999945360621616E-18
0.200000000000000E+00     -0.646982042447400E-18
0.250000000000000E+00     -0.232840917429059E-17
0.300000000000000E+00     -0.127560458413726E-17
0.350000000000000E+00      0.414285987328158E-18
0.400000000000000E+00      0.294689521426153E-17
0.450000000000000E+00      0.439068433333654E-17
0.500000000000000E+00      0.127432056780771E-17
0.550000000000000E+00      0.620954202301654E-18
0.600000000000000E+00     -0.498630060924384E-18
0.650000000000000E+00      0.732373737176514E-18
0.700000000000000E+00      0.185491245287484E-17
0.750000000000000E+00      0.998550678314165E-17
0.800000000000000E+00      0.186111942371340E-17
0.850000000000000E+00      0.614863148776839E-17
0.900000000000000E+00     -0.362078545258310E-18
0.950000000000000E+00      0.440356183113752E-17
0.100000000000000E+01     -0.204362075661819E-17
