  Time                    Value
  0.000000000000000E+00   0.000000000000000E+00
  0.500000000000000E-01  -0.133974394963599E-01
  0.100000000000000E+00  -0.266689583501880E-01
  0.150000000000000E+00  -0.396828767988945E-01
  0.200000000000000E+00  -0.522234649578315E-01
  0.250000000000000E+00  -0.641201048931961E-01
  0.300000000000000E+00  -0.752537398292231E-01
  0.350000000000000E+00  -0.855534588342654E-01
  0.400000000000000E+00  -0.949881708587848E-01
  0.450000000000000E+00  -0.103557014407751E+00
  0.500000000000000E+00  -0.111280568873429E+00
  0.550000000000000E+00  -0.118193668174497E+00
  0.600000000000000E+00  -0.124339912658430E+00
  0.650000000000000E+00  -0.129779659588830E+00
  0.700000000000000E+00  -0.134550121081814E+00
  0.750000000000000E+00  -0.138701386213303E+00
  0.800000000000000E+00  -0.142282438508758E+00
  0.850000000000000E+00  -0.145340316208871E+00
  0.900000000000000E+00  -0.147907555932226E+00
  0.950000000000000E+00  -0.150040549301468E+00
  0.100000000000000E+01  -0.151778395301816E+00
