  Time                    Value
  0.000000000000000E+00   0.000000000000000E+00 
  0.500000000000000E-01  -0.132423542786961E-15 
  0.100000000000000E+00   0.884464656682448E-16 
  0.150000000000000E+00  -0.550715517195447E-15 
  0.200000000000000E+00  -0.169316184565608E-14 
  0.250000000000000E+00  -0.505161132380045E-15 
  0.300000000000000E+00  -0.111168712107449E-14 
  0.350000000000000E+00  -0.170423876020512E-14 
  0.400000000000000E+00  -0.711921133650991E-15 
  0.450000000000000E+00  -0.303552446681121E-14 
  0.500000000000000E+00  -0.510786913457471E-15 
  0.550000000000000E+00   0.583507021319858E-15 
  0.600000000000000E+00  -0.201762401003027E-14 
  0.650000000000000E+00  -0.336145025117869E-15 
  0.700000000000000E+00   0.236605948321280E-15 
  0.750000000000000E+00  -0.156588609266650E-14 
  0.800000000000000E+00  -0.721921098747157E-15 
  0.850000000000000E+00  -0.338332064187680E-15 
  0.900000000000000E+00   0.572390137403619E-15 
  0.950000000000000E+00   0.276027073444732E-15 
  0.100000000000000E+01  -0.260065341064700E-14 
