   Time                         Value
  0.000000000000000E+00     0.000000000000000E+00 
  0.500000000000000E-01    -0.271790214642566E-15 
  0.100000000000000E+00    -0.321934776878257E-15 
  0.150000000000000E+00    -0.215089617395126E-15 
  0.200000000000000E+00     0.128629110468970E-14 
  0.250000000000000E+00    -0.589808522930956E-15 
  0.300000000000000E+00    -0.380216996396458E-15 
  0.350000000000000E+00     0.728592753756205E-15 
  0.400000000000000E+00    -0.133296219656694E-14 
  0.450000000000000E+00     0.147315779604055E-14 
  0.500000000000000E+00    -0.114343926283306E-14 
  0.550000000000000E+00    -0.231911522321007E-14 
  0.600000000000000E+00    -0.506369848395777E-15 
  0.650000000000000E+00    -0.221874351302633E-14 
  0.700000000000000E+00    -0.162631829356307E-14 
  0.750000000000000E+00     0.302968438639813E-15 
  0.800000000000000E+00    -0.219375265295054E-14 
  0.850000000000000E+00    -0.959366456719166E-15 
  0.900000000000000E+00    -0.256366951695015E-14 
  0.950000000000000E+00    -0.185089955040689E-14 
  0.100000000000000E+01     0.456466690550053E-15 
