    Time                        Value
  0.000000000000000E+00     0.000000000000000E+00
  0.500000000000000E-01    -0.772705806132735E-17
  0.100000000000000E+00     0.600842821134838E-17
  0.150000000000000E+00    -0.116314564316961E-16
  0.200000000000000E+00    -0.539407521470484E-16
  0.250000000000000E+00     0.100278536559542E-15
  0.300000000000000E+00     0.645947325576129E-16
  0.350000000000000E+00     0.747997855061328E-16
  0.400000000000000E+00     0.136541711097393E-17
  0.450000000000000E+00     0.334815183390680E-16
  0.500000000000000E+00     0.374573215868902E-15
  0.550000000000000E+00     0.620400811886940E-16
  0.600000000000000E+00     0.108091568465016E-15
  0.650000000000000E+00    -0.473864112011946E-16
  0.700000000000000E+00    -0.323498823215362E-16
  0.750000000000000E+00     0.573204136065930E-16
  0.800000000000000E+00    -0.704934700022919E-16
  0.850000000000000E+00     0.311247338666276E-15
  0.900000000000000E+00     0.149535196508274E-15
  0.950000000000000E+00     0.218270226112066E-15
  0.100000000000000E+01     0.685429225313547E-15
